[INFO 1681826834.225986928] [BEW_logger]: camera_name;time_since_last_image;message
[INFO 1681826834.232573380] [BEW_logger]: fp_p;1681826834231.8528;
[INFO 1681826834.236572106] [BEW_logger]: fp_f;1681826834236.0151;
[INFO 1681826834.240567954] [BEW_logger]: fs_f;1681826834239.9712;
[INFO 1681826834.246065382] [BEW_logger]: fs_s;1681826834245.4995;
[INFO 1681826834.249907182] [BEW_logger]: ap_p;1681826834249.1282;
[INFO 1681826834.253920257] [BEW_logger]: fp_p;21.527114;
[INFO 1681826834.256134341] [BEW_logger]: fp_f;19.469765;
[INFO 1681826834.258205303] [BEW_logger]: fs_f;17.725999;
[INFO 1681826834.260244770] [BEW_logger]: fs_s;14.238181;
[INFO 1681826834.262274894] [BEW_logger]: ap_p;12.641154;
[INFO 1681826834.264299898] [BEW_logger]: ap_a;1681826834263.792;
[INFO 1681826834.267853722] [BEW_logger]: as_a;1681826834267.2698;
[INFO 1681826834.271368623] [BEW_logger]: as_s;1681826834270.8508;
[INFO 1681826834.446547116] [BEW_logger]: BEW;1681826834445.9365;
[INFO 1681826834.449673919] [BEW_logger]: fp_p;195.713695;
[INFO 1681826834.451826074] [BEW_logger]: fp_f;195.821111;
[INFO 1681826834.454306048] [BEW_logger]: ap_a;189.938159;
[INFO 1681826834.456834107] [BEW_logger]: as_a;189.055459;
[INFO 1681826834.459447079] [BEW_logger]: as_s;187.98209;
[INFO 1681826834.462167464] [BEW_logger]: fp_p;12.56243;
[INFO 1681826834.464290159] [BEW_logger]: ap_a;9.960067;
[INFO 1681826834.466534575] [BEW_logger]: fp_p;4.37414;
[INFO 1681826834.662201277] [BEW_logger]: ap_p;399.595093;
[INFO 1681826834.968270889] [BEW_logger]: fs_f;709.279915;
[INFO 1681826835.273386188] [BEW_logger]: fs_s;1012.405166;
[INFO 1681826835.449345561] [BEW_logger]: BEW;1002.647907;
[INFO 1681826835.563910999] [BEW_logger]: as_s;1103.845431;
[INFO 1681826835.869571563] [BEW_logger]: fp_f;1417.410083;
[INFO 1681826836.163323557] [BEW_logger]: as_a;1706.139435;
[INFO 1681826836.465889212] [BEW_logger]: fp_p;1998.990428;
[INFO 1681826836.764646799] [BEW_logger]: ap_a;2299.851081;
[INFO 1681826837.066320398] [BEW_logger]: ap_p;2404.226393;
[INFO 1681826837.368527283] [BEW_logger]: fs_f;2400.500582;
[INFO 1681826837.676196617] [BEW_logger]: as_s;2112.378385;
[INFO 1681826837.943337501] [BEW_logger]: fs_s;2670.352637;
[INFO 1681826838.114463781] [BEW_logger]: BEW;2665.15673;
[INFO 1681826838.213185245] [BEW_logger]: fp_f;2343.60679;
[INFO 1681826838.496506587] [BEW_logger]: as_a;2333.153978;
[INFO 1681826838.802222917] [BEW_logger]: fp_p;2335.999557;
